Company,"Job Title",Location,"Job Type",Experience,"Skill 1","Skill 2","Skill 3","Skill 4","Skill 5","Skill 6","Perk 1","Perk 2","Perk 3"
Block,"Data Science Intern (Summer 2023)","San Francisco, CA, United States",Internship,Entry-level,"A/B testing",Airflow,Banking,BigQuery,Blockchain,"Computer Science","Career development",Equity,"Flex vacation"
Blueground,"Data Analysis Intern - Istanbul","Ä°stanbul, Ä°stanbul, Turkey",Internship,Entry-level,"Business Intelligence","Data analysis","Data Analytics","Data quality",Engineering,Excel,"Career development","Competitive pay","Flex hours"
"Bosch Group","Internship for BigData Analysis in the areas of Project Management and SW Development Metrics","Abstatt, Germany",Internship,Entry-level,Azure,"Big Data","Computer Science","Data analysis",Engineering,Excel,"Career development","Team events",
"Bosch Group","Academic Internship - Deep Learning, Multi-Task","Braga, Portugal",Internship,Entry-level,"Computer Science","Computer Vision","Deep Learning",Lidar,"Machine Learning",Physics,"Career development","Flex hours",
"Bosch Group","Website & Data analyses - Internship EU student","Breda, Netherlands","Full Time",Entry-level,E-commerce,Research,Testing,,,,"Flex hours",,
"Bosch Group","Jr Data Engineer - Internship","Cernusco sul Naviglio, Italy","Full Time",Entry-level,"Business Intelligence","Computer Science","Data analysis",Engineering,Industrial,Mathematics,"Startup environment",,
"Bosch Group","Internship: Deep Learning based Lane and Road Edge Detection","Leonberg, Germany","Full Time",Entry-level,Agile,"Computer Science","Computer Vision","Deep Learning",Engineering,Python,"Flex hours",,
"Bosch Group","AI/ML Graduate Intern with Focus on AI Engineering (6 - 12 Months)","Mount Prospect, IL, United States",Internship,Entry-level,AWS,Azure,"Computer Science",Engineering,GCP,Industrial,,,
"Bosch Group","2023 Co-op Student - Digital Automation -- Data Analyst (May- Nov)","Oakbrook Terrace, IL, United States","Full Time",Entry-level,"Computer Science",Engineering,Excel,Industrial,KNIME,Mathematics,"Team events",,
"Bosch Group","Internship Embedded AI Engineering","Reutlingen, Germany","Full Time",Entry-level,"Computer Science","Deep Learning",Engineering,"Machine Learning",Mathematics,Physics,"Career development",,
"Bosch Group","Intern, AI Engineer for HVAC","Singapore, Singapore",Internship,Entry-level,"Computer Science",Engineering,Industrial,NumPy,OpenAI,Pandas,"Career development",,
"Bosch Group","Internship - Master Data Management","Solothurn/Zuchwil, Switzerland",Internship,Entry-level,"Data Analytics","Data management",Excel,Industrial,Spark,,"Flex hours","Startup environment",
"Bosch Group","Internship Big Data for Fleet Validation","Stuttgart, Germany","Full Time",Entry-level,Agile,Azure,"Big Data","Data analysis",Databricks,Engineering,"Startup environment",,
"Bosch Group","Embedded Machine Learning Intern for Sensors and Edge Devices","Sunnyvale, CA, United States",Internship,Entry-level,"ASIC Design",Classification,"Computer Science","Data Mining",Engineering,Linux,,,
"Bosch Group","[Intern] AI/ Computer Vision Engineer","TÃ¢n BÃ¬nh, Vietnam","Full Time",Entry-level,"Computer Science","Computer Vision",Consulting,"Deep Learning",Economics,Engineering,"Career development","Team events",
Bugcrowd,"Data Science Intern","United States",Internship,Entry-level,"A/B testing","Data analysis",EDA,Engineering,Git,GitHub,,,
Burro,"Machine Learning Internship","Philadelphia, PA",Internship,Entry-level,"Computer Vision",CUDA,"Deep Learning",Engineering,GPU,"Machine Learning",,,
Censys,"2023 Software Engineering Internship - Data Engineer","Ann Arbor, Michigan, United States",Internship,Entry-level,ANN,Engineering,Golang,Helm,Python,Research,"Competitive pay","Home office stipend","Startup environment"
CGG,"Machine Learning Engineer 2023 Internship Programme (6 months)","Crawley, United Kingdom",Internship,Entry-level,C++,"Computer Science","Deep Learning",HPC,"Machine Learning",Mathematics,"Career development","Competitive pay","Fitness / gym"
CGG,"Internship â€“ Machine Learning/MLOps Engineer (6 months)","Massy, France","Full Time",Entry-level,CI/CD,"Computer Science",Engineering,HPC,"Machine Learning",MLFlow,"Career development","Startup environment",
"Charles River Analytics Inc.","Natural Language Processing Intern","Cambridge, MA",Internship,Entry-level,"Computer Science",LLMs,"Machine Learning",NLP,OOP,Prototyping,"Career development","Flex vacation","Snacks / Drinks"
"Chemix, Inc.","Machine Learning Research Engineer Internship","Sunnyvale, California, United States",Internship,Entry-level,Chemistry,CI/CD,Git,"Machine Learning","ML models",NumPy,"401(k) matching","Career development",Equity
Chime,"Reporting and Data Infrastructure Intern","Remote, San Francisco",Internship,Entry-level,Banking,"Computer Science","Data governance",FinTech,LookML,Privacy,"401(k) matching","Career development","Competitive pay"
Chime,"Data Analytics Intern: Consumer Economics","San Francisco, CA",Internship,Entry-level,Banking,"Data Analytics","Data visualization",Economics,FinTech,Privacy,"401(k) matching","Career development","Competitive pay"
CleverConnect,"Data Engineer / Data Analyst - Stage de fin d'Ã©tudes - Paris 2e","Paris, France","Full Time",Entry-level,Agile,Architecture,AWS,BigQuery,Dataflow,"Data visualization","Career development",Yoga,
"Cloudflare, Inc.","Data Engineering Internship","Lisbon, Portugal",Internship,Entry-level,Angular,APIs,Architecture,"Computer Science","Data Analytics",Engineering,,,
"Cloudflare, Inc.","Data Analyst Intern (Summer 2023)","Remote US",Internship,Entry-level,"Big Data",BigQuery,"Computer Science","Data Analytics",Engineering,Finance,"Career development","Startup environment",
"Cloudflare, Inc.","Data Engineer - Intern (Summer 2023)","San Francisco or Austin",Internship,Entry-level,Angular,APIs,Architecture,"Computer Science","Data Analytics",Engineering,,,
CloudSEK,"Machine Learning Intern","Bengaluru, Karnataka, India",Internship,Entry-level,BERT,Elasticsearch,GPT,Keras,"Machine Learning","ML models","Career development","Competitive pay","Flex hours"
"Coda Payments","Data Science - Intern","Kuala Lumpur, Malaysia",Internship,Entry-level,Classification,"Computer Science",Engineering,Finance,FinTech,"Machine Learning","Career development","Flex hours",
"DataCamp, Inc.","Machine Learning Content Development Intern","United Kingdom or Belgium",Internship,Entry-level,Engineering,GitHub,"Machine Learning",MLFlow,Python,Teaching,"Career development","Competitive pay",Equity
Deep6.ai,"Data Analyst, Search Intern","Remote or Pasadena, CA",Internship,Entry-level,"Business Analytics","Computer Science","Machine Learning",Mathematics,NLP,Python,"Competitive pay","Startup environment",
Deezer,"Product Data Analyst Intern m/f/d","Paris, France",Internship,Entry-level,"Data analysis","Data pipelines","Data visualization",KPIs,Pipelines,Python,"Career development","Health care",Insurance
Deloitte,"Data Management Unit Intern","Nakuru, Kenya",Internship,Entry-level,Consulting,"Data analysis","Data management","Data quality","Data visualization",Excel,"Career development","Startup environment","Team events"
"Deutsche Telekom IT Solutions","Data Science Trainee - REF1574S","Budapest, Debrecen, Szeged, PÃ©cs, Hungary","Full Time",Entry-level,Agile,"Computer Science",Jira,Kanban,Keras,"Machine Learning","Team events",,
"Dyania Health","NLP Applied Science Internship","Jersey City, New Jersey, United States",Internship,Entry-level,"Computer Science",Engineering,HuggingFace,"Machine Learning",Mathematics,NLP,Conferences,"Flex hours",
"Dyno Therapeutics","Machine Learning Engineer Summer 2023 Internship","Watertown, MA",Internship,Entry-level,Biology,"Computer Science",Engineering,"Machine Learning",Mathematics,"ML infrastructure","Startup environment",,
EcoVadis,"Data Management Intern (12 months Internship)","EbÃ¨ne, Mauritius",Internship,Entry-level,Classification,"Data management",Excel,Research,,,"Career development","Flex hours","Health care"
Enterpret,"[Internship] Machine Learning","Remote (India)",Internship,Entry-level,"Deep Learning","Linear algebra","Machine Learning",NLP,NumPy,Pandas,"Career development",,
Etsy,"Data Science Intern","Brooklyn, NY, United States","Full Time",Entry-level,"Computer Vision","Data Mining","Deep Learning","Diffusion models",E-commerce,ICLR,"Career development",Conferences,Equity
"Facilities Management Express","Customer Data Specialist Intern","Columbus, Ohio, United States - Remote",Internship,Entry-level,Airtable,APIs,"Business Analytics","Business Intelligence","Data visualization",ETL,"Career development","Competitive pay","Flex vacation"
FarmWise,"Machine Learning Intern","Paris, France (Hybrid)",Internship,Entry-level,AWS,"Computer Vision","Deep Learning",GCP,Git,GPU,,,
Fetch,"Data Analytics Internship","Birmingham, AL",Internship,Entry-level,"Data Analytics",Grafana,Python,SQL,Statistics,Tableau,"Flex vacation",,
Fetch,"Data Analytics Internship","Madison, WI",Internship,Entry-level,"Data Analytics",Grafana,Python,SQL,Statistics,Tableau,"Flex vacation",,
Fifty-Five,"Data Scientist Intern","Paris, ÃŽle-de-France, France",Internship,Entry-level,"Deep Learning",NumPy,Pandas,Python,R,R&D,"Career development",,
"Frazer-Nash Consultancy","Data Science and Systems Engineers - Summer Intern 2023","UK, Great Britain, United Kingdom",Internship,Entry-level,Agile,"Computer Science",Consulting,Engineering,Excel,Mathematics,"Career development","Competitive pay","Flex hours"
Freenome,"Machine Learning Research Engineering Intern (Remote)","South San Francisco, California",Internship,Entry-level,Biology,"Computer Science",Engineering,GPU,"Machine Learning","Model training","Career development",Conferences,"Medical leave"
"Funding Societies","Data Analyst Intern","Bangkok, Bangkok, Thailand - Remote",Internship,Entry-level,"Business Intelligence","Data Analytics","Data visualization","Data warehouse",Finance,FinTech,"Career development","Flex hours","Flex vacation"
"Funding Societies","Data Science Intern","Bengaluru, Karnataka, India - Remote",Internship,Entry-level,"A/B testing","Computer Science","Data analysis","Data visualization",FinTech,"Machine Learning","Career development","Flex hours","Flex vacation"
G2,"Summer Intern: Data Science",Chicago,Internship,Entry-level,AWS,"Data analysis",EDA,"Machine Learning","ML infrastructure",NLP,"Career development","Flex vacation","Parental leave"
Gameloft,"Data Analyst Intern - Summer 2023","Toronto, ON, Canada",Internship,Entry-level,"Computer Science","Data visualization",Mathematics,SQL,Statistics,,"Career development","Flex hours","Flex vacation"
Gojek,"Data Science Intern - Payments",Singapore,Internship,Entry-level,Caffe,"Computer Vision","Deep Learning",Engineering,Keras,"Machine Learning","Team events",,
GoodRx,"Data Engineer Internship","Santa Monica, CA",Internship,Entry-level,AWS,"Data pipelines",DevOps,Engineering,ETL,Excel,"Health care",,
GRESB,"Climate Data Analyst - Intern (Asset Impact) | Paris or Berlin","Paris, ÃŽle-de-France, France",Internship,Entry-level,"Data analysis",Excel,Finance,Python,R,RDBMS,"Career development",,
"Guardant Health","Machine Learning/Artificial Intelligence Intern","Palo Alto, CA, United States",Internship,Entry-level,Biology,"Computer Science",HPC,Linux,"Machine Learning",NLP,"Career development",Equity,"Health care"
"HeadLight Technologies Inc.","Computer Vision Intern","Seattle, Washington, United States - Remote",Internship,Entry-level,"Computer Vision",Consulting,Engineering,"Machine Learning",,,"Career development",,
"HRL Laboratories","Doctorate Intern in Machine Learning and Reasoning","Calabasas, CA",Internship,Entry-level,"Deep Learning","Machine intelligence","Machine Learning",Privacy,Python,PyTorch,"401(k) matching","Career development","Competitive pay"
Illumio,"Data Analyst Intern, Business Intelligence","Sunnyvale, California",Internship,Entry-level,"Business Intelligence","Data governance",Excel,Security,SQL,,Equity,,
Infinitus,"ðŸ“Š Data Analyst Intern - Business & Product Ops","San Francisco, CA",Internship,Entry-level,BigQuery,"Conversational AI","Data visualization",Engineering,Excel,GCP,"Startup environment",,
"Informa Group Plc.","Data Analytics Intern (Summer 2023)","Washington, DC, United States",Internship,Entry-level,"Big Data",BigQuery,"Computer Science","Data analysis","Data Analytics","Data Studio","Competitive pay","Startup environment",
"Jump Trading","Campus | Data Engineer (Intern)",Singapore,Internship,Entry-level,"Data Analytics",Economics,Engineering,Finance,Linux,MySQL,"Career development",,
Kinaxis,"Co-Op/Intern Software Engineer, AI Platform","Toronto, Canada; Remote, Canada",Internship,Entry-level,"Big Data",Bitbucket,DevOps,Engineering,GitHub,Industrial,,,
Kpler,"Data Scientist - Internship","Brussels, London, Paris, Vienna, Dubai, Houston, New â€¦",Internship,Entry-level,"Data analysis","Data quality","Data visualization",Git,"Machine Learning","ML models",,,
Lacework,"Analytics Engineer Intern","United States",Internship,Entry-level,BigQuery,"Computer Science","Data analysis","Data warehouse",Engineering,Finance,,,
Lightcast,"Research Analyst Intern (Summer 2023 )","Remote (Work From Home) US",Internship,Entry-level,Consulting,Economics,Excel,Python,Research,SQL,"Career development","Team events",
Lyft,"Canada - Early Talent - Data Science Intern, Decisions-Product - Montreal, Canada (Summer 2023)","Montreal, Canada",Internship,Entry-level,"A/B testing",Biology,"Computer Science",Economics,Engineering,Mathematics,"Health care","Startup environment",
ManoMano,"[Internship] - Junior Data Scientist #2 (W/M)","Paris 75017",Internship,Entry-level,Agile,Biology,"Computer Science","Data analysis",E-commerce,Economics,"Career development",Conferences,"Flex vacation"
Mendix,"Data Quality Management Internship",Rotterdam,Internship,Entry-level,AWS,"Computer Science","Data quality",Engineering,"Power BI",Privacy,Transparency,,
"Mercedes-Benz R&D North America","Machine Learning Intern","Sunnyvale, CA",Internship,Entry-level,Agile,ANN,Architecture,"Autonomous Driving","Computer Science","Data analysis","401(k) matching","Career development","Fitness / gym"
"Merlin Labs","NLP Software Engineer, Intern",Boston,Internship,Entry-level,BERT,"Computer Science","Data analysis",GitHub,GPT,"Machine Learning","401(k) matching","Career development","Health care"
METRO/MAKRO,"Internship - Data Analytics with SQL","BucureÈ™ti, Romania","Full Time",Entry-level,Cybernetics,"Data Analytics",Engineering,Excel,SQL,Statistics,"Career development","Flex hours","Startup environment"
METRO/MAKRO,"STAGE 6 mois - Data Scientist Junior H/F","Nanterre, France","Full Time",Entry-level,"Big Data","Power BI",Python,R,SQL,,,,
Metropolis,"Machine Learning Engineer Intern","Seattle, WA or Santa Monica, CA",Internship,Entry-level,Architecture,"Computer Vision",CUDA,cuDNN,"Deep Learning",DenseNet,"Startup environment",,
Moloco,"Data Analyst Intern - Korea","Gangnam-gu, Seoul, South Korea",Internship,Entry-level,"Data analysis",GCP,"Google Cloud","Machine Learning","ML models",Python,"Career development",,
Moloco,"Data Analyst Intern - Singapore","Singapore, Central Singapore, Singapore",Internship,Entry-level,"Data analysis",GCP,"Google Cloud","Machine Learning","ML models",Python,"Career development",,
Motional,"Summer 2023: Machine Learning Intern","Pittsburgh, Pennsylvania, United States",Internship,Entry-level,Architecture,"Autonomous Driving","Computer Science","Data Mining","Distributed Systems","Machine Learning","401(k) matching","Career development",Equity
NBCUniversal,"Act Two Program - Data Engineer","Universal City, CALIFORNIA, United States","Full Time",Entry-level,Agile,Airflow,"Big Data","Computer Science","Data Analytics","Data management","Career development","Flex hours","Flex vacation"
Netcetera,"Spring Internship Program - Machine Learning Engineer (Skopje, Bitola, Ohrid)","Skopje, Greater Skopje, North Macedonia",Internship,Entry-level,"Computer Science","Computer Vision","Deep Learning","Machine Learning",NLP,NumPy,"Career development",Conferences,"Flex hours"
"Nuro, Inc.","Applied Research, Machine Learning - PhD Summer Intern","Mountain View, California (HQ)",Internship,Entry-level,"Autonomous Driving","Computer Science","Deep Learning","Generative modeling",ICLR,ICML,"Career development",Conferences,
OpenX,"Intern - Machine Learning",Krakow,Internship,Entry-level,AWS,Azure,"Big Data","Computer Science","Data analysis",Dataflow,"Career development","Flex hours","Startup environment"
OpenX,"Data Scientist - Intern","Los Angeles, CA",Internship,Entry-level,Architecture,AWS,"Big Data","Computer Science","Data analysis",GCP,"Career development","Startup environment",
OpenX,"Intern, ML Ops","New York City",Internship,Entry-level,AWS,Azure,"Computer Science",Docker,GCP,"Google Cloud","Career development","Startup environment",
Outrider,"Perception Intern, Deep Learning Data","Brighton, Colorado",Internship,Entry-level,AWS,"Deep Learning",Docker,Git,Lidar,Python,,,
Outrider,"Data Analyst Intern","Golden, Colorado",Internship,Entry-level,Athena,AWS,"Computer Science","Data analysis","Data Analytics","Data visualization",,,
"Plume Labs","AI Engineer Internship","Paris, ÃŽle-de-France, France - Remote",Internship,Entry-level,Agile,APIs,"Deep Learning",Keras,"Machine Learning",NumPy,"Career development","Flex hours","Startup environment"
"Publicis Groupe","Intern Program: Data Science Intern","Atlanta, GA, United States",Internship,Entry-level,"Cluster analysis","Data analysis",Privacy,SAS,Statistics,,"Career development","Competitive pay",Equity
"Publicis Groupe","Digital Data Analyst","BogotÃ¡, Colombia","Full Time",Entry-level,"Data Studio",Excel,Jira,Spark,,,,,
"Publicis Groupe","Summer Internship - Data Science / Advanced Analytics","Los Angeles, CA, United States","Part Time",Entry-level,Excel,R,,,,,"Career development",,
"Publicis Groupe","Data Sciences Intern(Smart's)","Madrid, Spain","Part Time",Entry-level,"Data analysis",Economics,Engineering,Mathematics,.NET,RDBMS,"Startup environment",,
"Publicis Groupe","Intern, Data Science & Analytics","Miami, FL, United States",Internship,Entry-level,"Data strategy","Data Studio",Excel,"Power BI",Python,Research,"Flex hours","Flex vacation",Insurance
"Publicis Groupe","Data Analyst - Internship","Milano, Italy","Full Time",Entry-level,"Business Intelligence","Computer Science",Consulting,Mathematics,Statistics,,"Flex hours",Wellness,
"Publicis Groupe","Data Science & Analytics, Summer Intern","Springdale, AR, United States",Internship,Entry-level,"Data visualization",Excel,Mathematics,Statistics,STEM,Tableau,"Career development","Home office stipend",Insurance
"Publicis Groupe","Junior Data Analyst - Extra Curricular Internship","Torino, Italy","Full Time",Entry-level,"Big Data","Computer Science",Consulting,"Data analysis","Data Mining","Data quality","Flex hours",Wellness,
"Recorded Future, Inc.","Data Science Intern","Boston, MA",Internship,Entry-level,Python,Security,,,,,"Startup environment",,
Relativity,"Machine Learning Operations Intern - Summer 2023","Remote United States",Internship,Entry-level,AWS,Azure,"Computer Science",Databricks,GCP,Linux,"Career development","Flex hours","Flex vacation"
Roblox,"Data Science Intern - Causal Inference with Network Interference (Summer 2023)","San Mateo, CA, United States",Internship,Entry-level,Airflow,"Big Data","Causal inference","Computer Science",Economics,Engineering,"Career development",Equity,"Flex hours"
Rokt,"Data Analyst Intern","New York City, United States",Internship,Entry-level,Agile,"Big Data","Business Analytics","Computer Science","Data analysis",E-commerce,"Career development",Equity,"Home office stipend"
Roofstock,"Data Engineering Intern","Oakland, CA",Internship,Entry-level,"Computer Science",Engineering,Python,RDBMS,Scala,SQL,"Competitive pay","Startup environment",
"RYTE Corporation","Data Scientist (NLP & ML) Intern (Alternance)","Nice, Provence-Alpes-CÃ´te d'Azur, France",Internship,Entry-level,Azure,"Big Data",C++,"Computer Science","Deep Learning",Docker,"Career development",,
"RYTE Corporation","MLOps Engineer Intern (Alternance)","Paris, ÃŽle-de-France, France",Internship,Entry-level,Azure,"Big Data",CI/CD,"Computer Science",Databricks,"Deep Learning","Career development",,
Santen,"Data Science Intern","Emeryville, CA, United States","Full Time",Entry-level,"Data analysis",R,SAS,Statistics,,,"Flex hours","Startup environment","Team events"
Sayari,"Data Engineer Intern","United States - Remote",Internship,Entry-level,Airflow,AWS,Azure,Engineering,ETL,GCP,"401(k) matching","Career development","Competitive pay"
Scandit,"Computer Vision / Machine Learning Intern",ZÃ¼rich,Internship,Entry-level,C++,"Computer Science","Computer Vision","Machine Learning","ML models",NLP,"Career development","Startup environment","Team events"
SchrÃ¶dinger,"Computational Biology Intern","New York",Internship,Entry-level,Biology,"Computer Science","Deep Learning","Drug discovery","Machine Learning",Python,"401(k) matching","Career development","Competitive pay"
ServiceNow,"Data Analytics Intern, Innovation Operations","Santa Clara, CALIFORNIA, United States",Internship,Entry-level,"Computer Science","Data Analytics","Data visualization",Economics,Excel,Finance,"401(k) matching","Competitive pay",Equity
Shadow,"Data Analyst / Data Scientist Intern (H/F/X) - July 2023",Paris,Internship,Entry-level,Agile,Clustering,"Data analysis","Data visualization",KPIs,Pandas,"Career development","Flex hours","Flex vacation"
"Shift Technology","Data Scientist (End-of-studies Internship)","France - Paris",Internship,Entry-level,"Big Data",Chatbots,"Computer Science",Engineering,"Machine Learning",Mathematics,"Career development","Competitive pay",Equity
Shippeo,"Data Scientist - Internship","Paris, France",Internship,Entry-level,Classification,"Machine Learning","ML models",NumPy,Pandas,Python,,,
"Sia Partners","Stage de fin d'Ã©tudes - Consultant(e) Data Management","Paris, France","Full Time",Entry-level,APIs,Architecture,AWS,Azure,"Big Data","Business Intelligence",,,
Smartsheet,"Product Design Intern, Data Integrations","-REMOTE, UK-",Internship,Entry-level,Agile,Engineering,Privacy,Prototyping,Research,UX,"Career development",,
"Snowflake Inc.","Data Engineer Intern","Dublin, CA, USA",Internship,Entry-level,"Computer Science","Data pipelines","Data warehouse","Distributed Systems",Engineering,Excel,"Flex hours","Startup environment","Team events"
"Snowflake Inc.","Data Engineer - Intern","Pune, India",Internship,Entry-level,Airflow,APIs,AWS,Azure,"Computer Science","Data pipelines",,,
Snyk,"Data Analytics Intern",Boston,Internship,Entry-level,"Computer Science","Data Analytics",Looker,Prototyping,Security,SQL,"Career development","Flex hours","Flex vacation"
"SOMFY Group","Alternance Data Analyst (H/F)","Cluses, France","Full Time",Entry-level,"Data analysis",Excel,"Power BI",Python,R,R&D,"Salary bonus",,
Spendesk,"Data Scientist Intern",Paris,Internship,Entry-level,Classification,"Computer Science","Data visualization","Deep Learning",Finance,"Linear algebra","Career development",Gear,"Health care"
"Spot AI","Data Analytics Engineer (Intern)","Hayward, California, United States",Internship,Entry-level,APIs,AWS,BigQuery,"Computer Science","Data Analytics",Databricks,"Career development",,
Spotify,"Summer Internship, Research Scientist, Audio Intelligence | Music Mission (EMEA or US)",Berlin,Internship,Entry-level,"Computer Science",Engineering,GitHub,"Machine Learning",Mathematics,NumPy,,,
Spotify,"Summer Internship, Product Management | Data Management (US)","New York City",Internship,Entry-level,Agile,"Big Data","Computer Science","Data management",Economics,Engineering,"Home office stipend",,
Spotlab,"Artificial Intelligence Research Internship","Madrid, Spain",Internship,Entry-level,Caffe,"Computer Science","Computer Vision","Deep Learning",Engineering,Keras,"Career development","Health care","Startup environment"
"Steel Perlot","Sports Data Science Intern","Los Angeles, California, San Francisco, California, New â€¦",Internship,Entry-level,Bayesian,CI/CD,"Computer Science","Data analysis","Data management",Engineering,"401(k) matching","Career development","Competitive pay"
Strava,"Machine Learning Engineering Intern","Remote (USA)",Internship,Entry-level,"Computer Science","Data Mining","Data pipelines","Deep Learning",Engineering,Hadoop,"Career development","Health care","Team events"
"Syngenta Group","Data Scientist Trainee (m/w/d)","Frankfurt am Main, Germany","Full Time",Entry-level,AWS,"Big Data","Data Mining","Deep Learning","Machine Learning",NoSQL,,,
takealot.com,"Data Analytics Intern","Cape Town",Internship,Entry-level,"Data Analytics",E-commerce,,,,,"Career development","Competitive pay","Flex vacation"
Trigo,"STAGE - Data Analyst POWER BI - H/F","Nanterre, France","Full Time",Entry-level,Excel,"Power BI",Robotics,RPA,SharePoint,,,,
"Trust Lab","Data Science Intern | Social Media Analysis | US, Canada, UK, Germany",Anywhere,Internship,Entry-level,AWS,"Data analysis","Data visualization",Engineering,"Machine intelligence","Machine Learning","Flex hours","Startup environment",
"Trust Lab","Data Science Intern | Greece",Remotely,Internship,Entry-level,"Computer Science","Data analysis","Data Analytics","Data Studio",Engineering,"Machine Learning","Career development","Competitive pay",Equity
TuneIn,"Data Science Intern","San Francisco, CA",Internship,Entry-level,"Computer Science","Data Mining","Deep Learning",Engineering,Excel,KPIs,"Career development",,
Ubisoft,"Stagiaire Data Analyst (F/H/NB)","Bordeaux, France","Full Time",Entry-level,Airflow,ETL,Git,Hadoop,PySpark,Python,,,
Unbabel,"AI Research Scientist Intern","Lisbon, Lisbon, Portugal",Internship,Entry-level,"Computer Science","Deep Learning",Engineering,"Machine Learning",NLP,PhD,"Career development","Competitive pay",Conferences
"Unite Us","Internship: Data Analyst Intern","New York City",Internship,Entry-level,"Computer Science","Data Analytics",Mathematics,Physics,SQL,Statistics,"Startup environment",,
Vention,"Computer vision Developer","MontrÃ©al, QC, Canada","Full Time",Entry-level,"Computer Vision","Distributed Systems",GPU,JavaScript,Jupyter,Mathematics,"Startup environment",,
Verily,"Data Science Intern, Registries and Real World Data","South San Francisco, CA",Internship,Entry-level,Biology,"Computer Science","Data quality",Engineering,"Machine Learning",Mathematics,"Career development","Competitive pay",Equity
Verisk,"Data Analytics Intern (Pricing Analyst) - 2023  Summer Internship Program - CR","KrakÃ³w, Poland","Part Time",Entry-level,"Business Intelligence","Data analysis","Data Analytics","Data management","Data quality","Data visualization","Career development",Equity,Insurance
Visa,"Intern Associate Data Analyst â€“ Undergrad â€“ Austin","Austin, TX, United States",Internship,Entry-level,"Computer Science","Data Analytics","Data visualization",Engineering,Excel,SQL,Equity,"Health care",Insurance
Visa,"Internship - Data Science (For Current Students)","Johannesburg, South Africa","Full Time",Entry-level,"Big Data",Clustering,"Computer Science","Data analysis","Data Mining",Econometrics,"Career development",,
Visium,"Junior Machine Learning Engineer - Lausanne (internship)","Lausanne, Vaud, Switzerland",Internship,Entry-level,Classification,Clustering,"Computer Science",D3,"Deep Learning",Engineering,"Career development","Startup environment","Team events"
Visium,"Junior Machine Learning Engineer - ZÃ¼rich (internship)","ZÃ¼rich, Zurich, Switzerland",Internship,Entry-level,Classification,Clustering,"Computer Science",D3,"Deep Learning",Engineering,"Career development","Startup environment","Team events"
